snap_index;snap_ts;price;bias;stage;result;reason;extra
693;2025-10-16T13:50:00Z;61.17;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=6.0, imp_atr=3.969332963880824, imp_pct=-2.462424048608889
694;2025-10-16T13:55:00Z;61.21;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
694;2025-10-16T13:55:00Z;61.21;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=6.0, imp_atr=3.969332963880824, imp_pct=-2.462424048608889
695;2025-10-16T14:00:00Z;61.19;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
695;2025-10-16T14:00:00Z;61.19;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=7.0, imp_atr=3.389356254228326, imp_pct=-2.1266389510713117
696;2025-10-16T14:05:00Z;61.19;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
696;2025-10-16T14:05:00Z;61.19;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=7.0, imp_atr=3.389356254228326, imp_pct=-2.1266389510713117
697;2025-10-16T14:10:00Z;61.18;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
697;2025-10-16T14:10:00Z;61.18;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=7.0, imp_atr=3.389356254228326, imp_pct=-2.1266389510713117
698;2025-10-16T14:15:00Z;61.13;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
698;2025-10-16T14:15:00Z;61.13;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=7.0, imp_atr=3.389356254228326, imp_pct=-2.1266389510713117
699;2025-10-16T14:20:00Z;61.09;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
699;2025-10-16T14:20:00Z;61.09;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=7.0, imp_atr=3.389356254228326, imp_pct=-2.1266389510713117
700;2025-10-16T14:25:00Z;61.06;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
700;2025-10-16T14:25:00Z;61.06;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=7.0, imp_atr=3.389356254228326, imp_pct=-2.1266389510713117
701;2025-10-16T14:30:00Z;61.04;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
701;2025-10-16T14:30:00Z;61.04;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=7.0, imp_atr=3.389356254228326, imp_pct=-2.1266389510713117
702;2025-10-16T14:35:00Z;61.01;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
702;2025-10-16T14:35:00Z;61.01;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=7.0, imp_atr=3.389356254228326, imp_pct=-2.1266389510713117
703;2025-10-16T14:40:00Z;61.05;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
703;2025-10-16T14:40:00Z;61.05;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=7.0, imp_atr=3.389356254228326, imp_pct=-2.1266389510713117
704;2025-10-16T14:45:00Z;61.13;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
704;2025-10-16T14:45:00Z;61.13;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=7.0, imp_atr=3.389356254228326, imp_pct=-2.1266389510713117
705;2025-10-16T14:50:00Z;61.13;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
705;2025-10-16T14:50:00Z;61.13;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=7.0, imp_atr=3.389356254228326, imp_pct=-2.1266389510713117
706;2025-10-16T14:55:00Z;61.11;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
706;2025-10-16T14:55:00Z;61.11;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=7.0, imp_atr=3.389356254228326, imp_pct=-2.1266389510713117
707;2025-10-16T15:00:00Z;61.1;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
707;2025-10-16T15:00:00Z;61.1;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SHORT;imp_dir=UP, imp_bars=1.0, imp_atr=0.7116950351142662, imp_pct=0.44378698224851415
708;2025-10-16T15:05:00Z;61.04;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
708;2025-10-16T15:05:00Z;61.04;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SHORT;imp_dir=UP, imp_bars=1.0, imp_atr=0.7116950351142662, imp_pct=0.44378698224851415
709;2025-10-16T15:10:00Z;61.0;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
709;2025-10-16T15:10:00Z;61.0;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SHORT;imp_dir=UP, imp_bars=1.0, imp_atr=0.7116950351142662, imp_pct=0.44378698224851415
710;2025-10-16T15:15:00Z;61.07;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
710;2025-10-16T15:15:00Z;61.07;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SHORT;imp_dir=UP, imp_bars=1.0, imp_atr=0.7116950351142662, imp_pct=0.44378698224851415
711;2025-10-16T15:20:00Z;61.08;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
711;2025-10-16T15:20:00Z;61.08;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SHORT;imp_dir=UP, imp_bars=1.0, imp_atr=0.7116950351142662, imp_pct=0.44378698224851415
712;2025-10-16T15:25:00Z;61.12;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
712;2025-10-16T15:25:00Z;61.12;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SHORT;imp_dir=UP, imp_bars=1.0, imp_atr=0.7116950351142662, imp_pct=0.44378698224851415
713;2025-10-16T15:30:00Z;61.12;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
