pk,ts,open,high,low,close,volume
BZ=F#1d,2025-08-12T00:00:00Z,66.72,67.04,65.97,66.12,33110
BZ=F#1d,2025-08-11T00:00:00Z,66.23,67.11,65.83,66.63,31132
BZ=F#1d,2025-08-08T00:00:00Z,66.38,67.19,65.5,66.59,52157
BZ=F#1d,2025-08-07T00:00:00Z,66.88,67.64,66.27,66.43,44063
BZ=F#1d,2025-08-06T00:00:00Z,67.76,69.19,66.22,66.89,62159
BZ=F#1d,2025-08-05T00:00:00Z,68.75,68.85,67.53,67.64,47388
BZ=F#1d,2025-08-04T00:00:00Z,69.0,69.98,67.99,68.76,41788
BZ=F#1d,2025-08-01T00:00:00Z,71.77,71.99,69.41,69.67,68855
BZ=F#1d,2025-07-31T00:00:00Z,73.4,73.49,72.42,72.53,56020
BZ=F#1d,2025-07-30T00:00:00Z,72.68,73.63,71.75,73.24,15242
BZ=F#1d,2025-07-29T00:00:00Z,70.39,73.07,69.89,72.51,24345
BZ=F#1d,2025-07-28T00:00:00Z,68.47,70.45,68.39,70.04,31485
BZ=F#1d,2025-07-25T00:00:00Z,69.26,69.89,68.3,68.44,27384
BZ=F#1d,2025-07-24T00:00:00Z,68.72,69.53,68.5,69.18,39597
BZ=F#1d,2025-07-23T00:00:00Z,68.72,69.08,68.0,68.51,37734
BZ=F#1d,2025-07-22T00:00:00Z,69.03,69.1,68.11,68.59,50140
BZ=F#1d,2025-07-21T00:00:00Z,69.22,69.62,68.42,69.21,41204
BZ=F#1d,2025-07-18T00:00:00Z,69.56,70.78,69.14,69.28,52366
BZ=F#1d,2025-07-17T00:00:00Z,68.69,69.62,68.29,69.52,50817
BZ=F#1d,2025-07-16T00:00:00Z,68.9,69.07,67.71,68.52,55511
BZ=F#1d,2025-07-15T00:00:00Z,69.1,69.4,68.56,68.71,51233
BZ=F#1d,2025-07-14T00:00:00Z,70.53,71.51,69.02,69.21,62179
BZ=F#1d,2025-07-11T00:00:00Z,68.99,70.69,68.56,70.36,40262
BZ=F#1d,2025-07-10T00:00:00Z,70.19,70.49,68.53,68.64,52295
BZ=F#1d,2025-07-09T00:00:00Z,69.9,70.7,69.61,70.19,42186
BZ=F#1d,2025-07-08T00:00:00Z,69.54,70.66,69.05,70.15,34109
BZ=F#1d,2025-07-07T00:00:00Z,67.61,69.93,67.36,69.58,59456
BZ=F#1d,2025-07-04T00:00:00Z,68.81,68.91,67.75,68.29,0
BZ=F#1d,2025-07-03T00:00:00Z,69.02,69.13,68.31,68.8,0
BZ=F#1d,2025-07-02T00:00:00Z,67.21,69.2,66.94,69.11,50268
BZ=F#1d,2025-07-01T00:00:00Z,66.59,67.48,66.34,67.11,29256
BZ=F#1d,2025-06-30T00:00:00Z,67.17,68.12,67.11,67.61,32957
BZ=F#1d,2025-06-27T00:00:00Z,67.96,68.41,67.21,67.77,8218
BZ=F#1d,2025-06-26T00:00:00Z,67.75,69.04,67.39,67.73,13057
BZ=F#1d,2025-06-25T00:00:00Z,67.92,68.76,67.32,67.68,23618
BZ=F#1d,2025-06-24T00:00:00Z,70.6,70.73,66.81,67.14,62358
BZ=F#1d,2025-06-23T00:00:00Z,80.01,81.4,69.54,71.48,100475
BZ=F#1d,2025-06-20T00:00:00Z,76.12,79.02,75.53,77.01,98821
BZ=F#1d,2025-06-18T00:00:00Z,77.19,77.43,74.44,76.7,0
BZ=F#1d,2025-06-17T00:00:00Z,72.81,77.08,72.53,76.45,88748
BZ=F#1d,2025-06-16T00:00:00Z,76.81,78.48,70.64,73.23,100509
BZ=F#1d,2025-06-13T00:00:00Z,70.27,78.53,69.92,74.23,175031
BZ=F#1d,2025-06-12T00:00:00Z,70.36,70.61,68.37,69.36,60336
BZ=F#1d,2025-06-11T00:00:00Z,66.57,69.96,66.47,69.77,58118
